innovate adj_创造性的_n_创新_v_创新
obsolescent adj_即将过时的_n_过时
obstinate adj_固执的_n_固执
onstage adv_在台上
openness n_坦诚
opportunely adv_适当地
oppressive adj_苛刻的
ordeal n_严峻的考验
ornamental adj_装饰的
oscillate v_徘徊，_动摇_n_动摇
ossify v_僵化
outgrowth n_自然发展（或结果）
overpower v_压制
override adj_最主要的_v_支配
"paleontologist" n_古生物学家
panacea n_万能药
partiality n_偏袒
pasteurization n_巴氏消毒法（加热杀菌法）
peer n_（地位、_能力等）同等的人；_同辈
penalty n_惩罚
penchant n_强烈倾向
perfunctory adj_敷衍的
perpetrate v_做（坏事）
personality n_人格
phenomenal adj_庞大的
philanthropy n_慈善事业_n_慈善家
phylogeny n_动植物种类进化史
physiological adj_生理的_adv_生理上地
pictorial adj_绘画的
pinpoint v_精确地找到
placate v_抚慰
plainly adv_明显地
plaintive adj_哀伤的
platitude n_陈词滥调
playful adj_有趣的
playwright n_剧作家
plenitude n_丰富
portentous adj_先兆的；_煞有介事的
possessor n_所有者
potentially adv_潜在地
practicable adj_有用的，_实用的
precariously adv_不稳固地
predictability n_可预见性
prehistory n_史前时代
prerogative n_特权
preservation n_保存
prevalent adj_流行的
prioritization n_优先化
privacy n_秘密性
prodigy n_天才
producer n_生产者
productivity n_生产能力
proficient adj_熟练的，_精通的
proliferate v_增加；_变大
promoter n_支持者
prone adj_有…倾向的
prophetic adj_预示的
"propitiatory" adj_取悦的
proprietary n_所有权
proscribe v_禁止
prototype n_原型
protracted adj_长时间的
provincialism n_地方风格
provisional adj_暂时的
proximity n_接近
prudence n_谨慎_adj_谨慎的
psychoanalytic adj_心理分析的_n_心理分析
publicity n_宣传
publicly adv_公开地
publisher n_出版商
quaint adj_古怪的，_离奇的
quantifiable adj_可以计量的
questionable adj_可疑的，_有问题的
quiescent adj_不活跃的
quietly adv_平静地
quirk n_怪异行为_adj_古怪的
quixotic adj_不切实际的
ramification n_结果
rancorous adj_怨恨的
rapidity n_迅速
realist n_现实主义者_n_现实主义
reappearance n_再现
rebuke n_谴责
recapitulate v_概括，_摘要
recede v_减弱
receptive adj_愿意接受的
reckless adj_不计后果的_n_鲁莽
recount v_描述
rectitude n_诚实，_正直
redeem v_解救
"reenact" v_重现
refinement n_改良
refractory adj_难治疗的
refrain v_克制
regression n_倒退
reiterate v_重申
rejuvenate v_使恢复精神
relevance n_相关性
reluctance n_勉强
remorse n_自责
renowned "adj_有名的,_有声誉的"
repetitive adj_反复的
replacement n_替代品
replenish v_补充；_重新装满；_鼓舞
reproduction n_再现
reptilian adj_爬虫类动物的
repudiation n_否定
reservoir n_储藏
respectability n_受尊重
respectable adj_值得尊重的
restitution n_赔偿
restiveness n_倔强
resurrect v_使复兴；_重新应用
reticent adj_沉默寡言的
retract v_否认
retrospect n_回顾
revelation n_被揭露的事
revert v_恢复
revile v_辱骂
revitalize v_使恢复生机或健康
rhetoric n_言论
rhyme n_韵律
rigor n_严谨
rivalry n_竞争，_对抗
rudimentary adj_基本的
saccharin n_糖精
sacrilegious adj_亵渎的
sarcastic adj_讽刺的
savor v_享受
schism n_分歧
scientifically adv_科学地
secrecy n_保密_adv_秘密地
sedentary adj_久坐的
sensation n_感觉
sensational adj_轰动的
sequential adj_连续的_adv_连续地
serenity n_平静
seriousness n_严肃，_认真
servitude n_奴役
shameless adj_无耻的_adv_不知羞耻地
shorten v_变短
shrewd adj_精明的
simulate v_模拟，_模仿
simulation n_模拟
skeleton n_骨骼
sociological adj_社会学的
sociologist n_社会学家
sociology n_社会学
soften v_使缓和
somatic adj_身体的
sparsely adv_稀少地
spectacular adj_令人惊叹的
sporadically adv_偶发地
spurious adj_虚假的，_伪造的
spurn v_轻蔑地拒绝
standardize v_使标准化
stereotype n_固定模式
stimulation n_刺激
strangely adv_奇怪地，_异常地
stratagem n_战略
strategic adj_基本的
streamline v_使成流线型
stressful adj_紧张的
stylized adj_模式化的
subsidiary n_辅助物
substantively adv_实质上
subvert v_推翻
successively adv_接连着
superficially adv_表面上地
suppression n_限制；_抑制
surpass v_超越
surrealism n_超现实主义
surrogate n_替代品
susceptibility n_敏感性
susceptible adj_容易…的
suspicious adj_可疑的
symbolism n_象征主义
symptom n_症状
symptomatic adj_具有（某种）症状的
tacit adj_不言而喻的
taxonomic adj_分类学的
technologically adv_技术上地
temperance n_节制
tempo n_（乐曲的）速度，_节奏
tendentious adj_有倾向的
theorist n_理论家
timekeeping n_计时
tolerant adj_容忍的
toll n_通行费
tout v_兜售
traditionalist n_传统主义者，_因循守旧者
trample v_践踏，_轻视
tranquil adj_安静的；_稳定的
transcendent adj_卓越的
transcribe v_抄写；_转录
treacherous adj_危险的
trepidation n_恐惧
truculent adj_残酷的
tyranny n_专制
ubiquitous adj_到处存在的
unanimous adj_一致同意的
unavoidable adj_不可避免的
unawareness n_不了解
unchanging adj_不变的
uncomplicated adj_简单的；_不混乱的
undefined adj_未定义的
undercut v_削弱
underplay v_贬低…的重要性
understandable adj_可理解的_adv_可理解地
understate v_轻描淡写，_避重就轻地说
unenlightened adj_无知的
unfettered adj_无拘无束的
unguided adj_无向导的，_无约束的
unhappiness n_痛苦
unify v_使统一
unimpressed adj_没有印象的
uniquely adv_独特地
unpopular adj_不受欢迎的
unpromising adj_没有希望的
unquestionable adj_毫无疑问的
unrecognized adj_未被认出的
unreliable adj_不可靠的
unremarkable adj_不明显的
unscrupulous adj_无原则的
unskilled adj_不熟练的
untreated adj_未经处理的
unwarranted adj_无根据的
utopian adj_乌托邦式的；_空想的
validate v_证实
venerable adj_令人尊重的
vengeance n_报复
versatile adj_通用的
vertebrate adj_脊椎动物的
vexation n_恼怒
viable adj_可生长发育的
vicious adj_恶意的_n_不道德
vindictive adj_有报仇心的
virtual adj_虚拟的
virtuosity n_对艺术品的欣赏或爱好
visionary adj_幻想的
vitalism n_活力论
vitiate v_使失效；_损害
vitriolic adj_尖刻的
vogue n_时尚
volcanic adj_火山的
wary adj_小心的
wasteland n_未开垦的荒地
welter n_混乱
whimsy n_与众不同的想法，_怪念头
willful adj_任性的_adv_任性固执地
withdrawal n_离开
abandonment n_放弃
abbreviate v_使简略；_缩写
abet v_煽动，_怂恿
abeyance n_搁置，_暂时中止
abject adj_低声下气的
abjure v_声明放弃（信念、_行动等）
abolish v_废除
abreast adv_并肩地
abruptly adv_突然地
abstain v_节制
abstinence n_节食；_戒酒
abstraction n_摘要
abstractness n_抽象性
absurd adj_荒谬的
absurdity n_荒谬
abysmal adj_糟透的，_极坏的
academe n_学术界
academician n_院士
accidentally adv_偶然地
accolade n_赞扬
accusation n_指责
acerbic adj_尖刻的
acknowledgement n_承认
acolyte n_助手，_随从
acquisition n_获得
acquittal n_宣告无罪
acrimonious adj_尖刻的
actively adv_主动地
activist n_激进分子
actuality n_现实
acumen n_敏锐
adaptability n_适应性
adaptive adj_适应的
adduce v_引证
adept adj_擅长的
adhere v_坚持
adherent n_拥护者
adjunct n_附属物
administer v_管理，_掌管
administrator n_管理员
admirer n_仰慕者
admonish v_警告
adumbrate v_暗示
advancement n_进步
advantageous adj_有利的，_有优势的
adversary n_对手
advocacy n_拥护，_支持
aesthetically adv_有审美能力地
affability n_亲切
affiliation n_加入
affinity n_喜好
affluent adj_富裕的
affordable adj_支付得起的
aggravate v_加重
agility n_敏捷
aging n_变老，_变成熟
agitate v_激动；_焦虑
agitation n_焦虑
agronomist n_农学家
aide n_助手
aimless adj_无目的的
albeit conj_即使
alert adj_警惕的
allay v_减轻
allegation n_指责
alleged adj_可疑的
allegiance n_忠诚
allowance n_津贴
alloy v_掺杂
allude v_暗示
allure n_魅力
allusion n_暗示
ally n_同盟国
aluminum n_铝
amalgam n_混合体
ambiguity n_模棱两可
amelioration n_改善
amenable adj_通情达理的
amend v_修正，_改进
anathema n_令人极其讨厌的人或事物
ancestry n_祖先
ancillary adj_辅助的
annexation n_并吞，_合并
annihilate v_使…无效
annihilation n_消灭
annotate v_注解
announcement n_宣布
annoyance n_生气
antagonism n_对立
antarctic adj_南极的
antedate v_早于…
anthropologist n_人类学家
antigen n_抗原
antithesis n_对照
aphoristic adj_警句的
apparition n_稀有的现象
appease v_安抚
applaud v_赞扬
applicability n_适用性
appraise v_评价
apprise v_告知
appropriation n_挪用
apropos adj_恰当的
aptly adv_恰当地
arable adj_可耕的
arbiter n_裁决者
arbitrarily adv_任意地，_武断地
arbitrator n_仲裁者
archaic adj_过时的
archetypally adj_典型地
ardor n_热情
arid adj_干旱的
aristocracy n_贵族
array n_一系列
ascertain v_确定
ascetic adj_苦行的
asceticism n_苦行主义
aspartame n_阿斯巴甜（一种人造甜味剂）
assessor n_助理行政官，_陪审法官
assiduous adj_勤奋的
assorted adj_各种各样的
assurance n_保证
assuredness n_确信
atonement n_弥补
atrocity n_暴行
atrophy n_萎缩
attendance n_入学
attenuation n_衰减
attuned v_使…合调
atypical adj_非典型的
auspices n_赞助
auspicious adj_吉利的
authentic adj_可信的
authenticate v_验证
authenticity n_真实性
autocratic adj_独裁的
automatically adv_自动地
automotive adj_汽车的
autonomously adv_独立地
avarice n_贪婪
avenge v_复仇
avid adj_渴望的
axiom n_公理，_格言
backwater n_孤立落后的情况
baffle v_困惑
balk v_拒绝
ballad n_民歌，_歌谣
ballet n_芭蕾舞
balm n_安慰（物）
bane n_祸根
barely adv_仅仅
barren adj_贫瘠的
bashfulness n_羞怯
bask v_享受乐趣
battalion n_营
bauxite n_铝土矿（产铝的矿土、_石）
befuddlement n_迷惑
beget v_造成
beguile v_欺骗
behavioral adj_行为的
belch v_喷出
beleaguer v_使…困扰
believable adj_可相信的
"belletristic" adj_纯文艺的
belligerent adj_好战的
beneficiary n_受益人
benign adj_良性的
bequeath v_遗赠
bequest n_遗赠
bestow v_授予
bewail v_为…悲伤
bewilder v_使…迷惑
biographer n_传记作者
biography n_传记
bizarre adj_怪诞的
blackmail n_敲诈
blight v_使…衰败
blithely adv_无忧无虑地
blizzard n_暴风雪
blueprint n_蓝图
bluff v_虚张声势
blundering adj_易犯错的，_粗笨的
blur v_使…模糊
bogus adj_假的
boisterous adj_喧闹的
boldness n_勇敢
bombast n_浮夸的言语
bonus n_奖金
boom v_急速增长
boost v_增加
borrowing n_借用的言语（或思想等）
bravely adv_勇敢地
brazen adj_厚颜无耻的
breach v_破坏
breakdown n_破裂
breeder n_饲养动物的人
brilliance n_辉煌
broach v_开始商讨
 adv_广泛地
brocade n_织锦
brushwork n_画法
brutal adj_野蛮的
brutality n_野蛮
bucolic adj_田园的
budget n_预算
bullfight n_斗牛
burgeon v_迅速发展
byproduct n_副产品
cacophony n_刺耳的声音，_不和谐音
calamity n_灾难
callous adj_无情的
can n_罐
canary n_金丝雀
cancel v_抵消
cannibalism n_同类相食
canvass v_详细检查
canyon n_峡谷
cape n_斗篷，_披肩
capitulate v_有条件投降
capsule n_胶囊
captious adj_强词夺理的
carcinogen n_致癌物
caricature n_夸张的描述
cartoonist n_漫画家
caste n_社会阶层
castigate v_斥责
casting n_角色的分派
casualty n_伤亡人数
catalyst n_催化剂
cater v_迎合
caterpillar n_毛虫
causality n_因果关系
caustic adj_刻薄的
cereal n_谷类食物
ceremonious adj_正式的
certitude n_确信
championship n_冠军
chantey n_船歌
chaotic adj_混乱的
chapel n_小教堂
charismatic adj_有领袖魅力的
charter n_特许状
chastisement n_惩罚
chatter n_闲聊，_唠叨
chef n_厨师
chiefly adv_主要地
chloroplast n_叶绿体
chorale n_赞美诗
chronic adj_（疾病）慢性的
chronology n_年表
chunk n_相当大的量
circumstantial adj_依据情况的
circumstantiality n_事件的详情
civic adj_市民的
civility n_礼貌
clam n_蚌
clamor v_大声要求
clannish adj_排他的
clarification n_澄清
classic adj_经典的
cleave v_分开
cliché n_陈腐的思想
climatic adj_气候上的
climax n_高潮
cling v_抓紧
clip n_录像带的一小段
closeness n_亲密
coalesce v_合并
coarseness n_粗糙
coastline n_海岸线
codify v_编纂
coerce v_强迫
coercive adj_强制的
coexistence n_共存
cogent adj_有说服力的
cognizant adj_已认识的
coherence n_连贯性
cohesive adj_有连贯性的
collaboration n_合作
collaborative adj_合作的
collector n_收藏家
collusion "n_共谋,_勾结"
colonization n_殖民化进程
coloration n_着色
combat n_战斗
combatant n_作战人员
comic n_连环漫画
commiseration n_同情
commodity n_商品
communicable adj_可传达的
comparatively adv_相对地
compassion n_同情
compatriot n_同胞
competence n_能力，_水平
complacence n_满足
complacent adj_满足的
complaisance n_殷勤
complement v_补足
completion n_完成
comply v_服从
comprehensively[k?mpri'hensivli]? adv_全面地
concordant adj_一致的
condemnation n_谴责
condescend v_屈尊
conflate v_合并
conform n_遵守
conformism n_因循守旧
congeniality n_适合，_意气相投
congruity n_一致
connive v_默许，_纵容
connoisseur n_鉴赏家
consequent adj_（作为结果）随之而来的
conservator n_管理员
consign v_赋予
conspiracy n_阴谋
consternation n_大为吃惊
constitutional adj_宪法的
constructor n_建造者
consummate v_完成
contagious adj_传染性的
containment n_控制
contemplate v_企图
contend v_争论
contention n_论点
contestant n_参赛者
contingency n_偶然性
contingent adj_依情况而定的
contrition n_悔悟
convention n_惯例
conventionality n_常规
conventionally adv_照惯例
convergent adj_收敛的
correspondence n_信件
correspondingly adv_相应地
costume n_服装
coterminous adj_相连的
counterpoint n_对应物
counterposition['kaunt?p?'zi??n]? n_相反观点
countless adj_无数的
coup?? n_妙计
courteous adj_有礼貌的
covert adj_隐蔽的
covet v_觊觎
cowardice n_懦弱
coworker n_同事，_合作者
craven adj_胆怯的
creativity n_创造力
creator n_创作者
credible adj_可靠的
credulity n_轻信
credulous adj_容易上当的
criminality n_有罪
critique n_批评
crochet n_钩针织物
crossfire n_交叉火力
crumble v_破灭
cryogenic adj_低温的
cryptic adj_含义隐晦的
cubism n_立体派，_立体主义
cuckoo n_布谷鸟
culminate v_告终
culpability n_有罪
culpable adj_有罪的
cult n_崇拜
cultivation n_培养
curiously adv_诡异地
cursorily adv_粗糙地
curt adj_唐突无礼的
custodian n_看守人
darken v_使…变暗
daunt v_使…胆怯
dearth n_不足
debunk v_揭穿真相
decadence n_衰落
decelerate v_使…减缓
decisively adv_果断地
decisiveness n_果断
deduction n_推理
deferential adj_恭敬的
defuse v_缓和
dehumanize v_使…失去人性
deign v_屈尊
deleterious adj_有害的
delicacy n_精致
delicately adv_精致地
delightfully adv_令人高兴地
delimit v_划界
delineate v_叙述
delude v_欺骗
demise n_终结
demonstrable adj_明显的，_显而易见的
demystify v_除去…中的神秘因素
denigration n_诋毁
dependable adj_可靠地
deplete v_用光
"deprecation" n_反对
derelict adj_遗弃的
descriptive adj_叙述的
descry v_发现，_察看
desertification n_土地沙漠化
designate v_指定
despicable adj_卑劣的
detach v_拆卸，_分解
detain v_扣留
deteriorate v_衰退
determinant n_决定因素
deterrent n_威慑物
detractor n_贬低者，_诽谤者
developmental adj_发育的
deviate v_脱离
devious adj_不正直的
devotee n_爱好者，_崇拜者
devotional adj_祈祷的
diabetes n_糖尿病
dialogue n_对话
dichotomous adj_分成两个的
dichotomy n_分歧，_对立
diffident adj_无自信的
diffuse v_传播
diffusion n_传播
digestible adj_易懂的
digression n_离题
diligence n_努力
dilute v_稀释
dioxide n_二氧化物
diplomat n_外交官
diplomatic adj_外交的
disabuse v_使…省悟
disagreeable adj_厌恶的
disappointingly adv_令人失望地
disarray n_无秩序
disavowal n_否认，_拒绝
disciplinary adj_纪律的
disclosure n_揭发
discomfit v_使困惑，_使窘迫
disconcert v_使…困惑
disconnected adj_分离的
discourteous adj_无礼貌的
discoverer n_发现者
discrimination n_辨别力
discursive adj_散漫的，_东拉西扯的
disenfranchise v_剥夺…公民权
disgrace v_使…丢脸
disinclined adj_不愿的，_不想的
disjunction n_分离
dislodge v_移走，_离开
dismal adj_让人沮丧的
disorderly adj_无秩序的
displace v_【化】置换
disputable adj_有争议的
disrepute n_声誉不好
disrespectful adj_无礼的
dissatisfied adj_不满意的
dissect v_解剖
disseminate v_传播
dissertation n_论文
dissident n_唱反调的人
dissimilar adj_不同的
"dissipate" v_消散
dissipation n_挥霍，_放纵
dissonance n_不和谐
distinguishable adj_可区分的
"divest" v_剥夺
dividend n_回报
divine adj_神的
divulge v_泄露
documentary n_纪录片
dogmatic adj_教条的，_武断的
dogmatically adv_教条地
domesticity n_（喜欢）家庭生活
dominant adj_主要的
dote v_溺爱
downfall n_覆灭
draftsmanship n_制图术
dreamer n_做梦的人
dual adj_双重的
duplication n_副本
dwindle v_减少
dynamically adv_动态地
eagerly adv_渴望地
eagerness n_渴望
earnings n_收益
earthiness n_质朴
earthly adj_世俗的
ecclesiastical adj_教会的
editorialize v_发表社论
educational adj_教育的
effusion n_强烈的情感流露
egalitarianism n_平均主义
elaboration n_精心制作
elated adj_兴高采烈的
electronically adv_电子地
elevate v_提高
elicit v_引出
elite n_精英
embed v_被包含在内，_进入
emblematic adj_作为标志的
embroider v_修饰润色
embroidery n_刺绣
emend v_修订
empathy n_心意相通
empiricism n_经验主义
enamor v_使…迷恋
encapsulation n_包装
enchanting adj_迷人的
enclosure n_围绕
encouragement n_激励
encumber v_妨碍
endanger v_危害
endear v_使…受喜爱
endlessly adv_不断地
endow v_赋予
energetic adj_有力的
enervate v_使…失去活力
enflame v_激发，_激起
engagement n_表现
enjoin v_命令
enjoyable adj_愉快的
enmesh v_陷入
enmity n_敌意
enormously adv_非常
enrich v_使…丰富
entangle v_使…混乱
enthrall v_迷惑
enthusiast n_热心家，_狂热者
entity n_实体
entrenched adj_根深蒂固的
episode n_片段
equable adj_平稳的
equanimity n_镇定
equipoise n_平衡
equivalence n_等价
errant adj_错误的
erratically adv_不规律地
erroneous adj_错误的
erstwhile adj_以前的
erudition n_博学
erupt v_爆发
eruption n_喷发
escapism n_逃避主义
estimable adj_可估计的
estranged adj_疏远的
etch v_蚀刻
eternal adj_永恒的
ethologist n_动物行为学家
ethos n_道德风貌
etiquette n_礼节
evaluative adj_可量化的
evocative adj_唤起…的
exasperation n_恼怒
excel v_优于，_擅长
excellence n_优秀
exchangeable adj_可替换的
excoriation n_苛责
exemplar n_模范，_榜样
"exhalation" n_呼气
exhaustiveness n_穷尽
exhibitionist n_喜欢出风头的人
exhilaration n_兴奋
existential adj_有关存在的
exodus n_大批的离去
exorbitant adj_（价格等）过高的
expedition n_探险队
expendable adj_可消耗的
expertise n_专业知识
expire v_终止
explanatory adj_说明的，_解释的
explicate v_解释，_说明
exploitation n_开发
exponentially adv_以指数方式
expressive adj_有表现力的；_意味深长的
exquisite adj_强烈的
extant adj_现存的
extensively adv_大规模地
exterminate v_消灭
extinct adj_灭绝的
extinguish v_熄灭
extol v_称赞
extracurricular adj_课外的
extraordinarily adv_非常
exuberant adj_丰富的
eyewitness n_目击者
facade n_外表（尤指虚伪的）
facet n_方面
fake v_假装
fallacious adj_不合理的
fallibility n_出错性；_不可靠
falsification n_伪造
fantasy n_幻想
fascinating adj_有吸引力的，_迷人的
fathom v_彻底了解
fatuous adj_愚昧的
fearsome adj_吓人的
feat n_功绩
fecundity n_多产
federally adv_联邦政府地
feminism n_女权主义
fern n_蕨
ferocity n_凶猛，_残忍
ferret v_查获
festive adj_节日的
feud n_不和
figment n_虚构的东西
filmmaker n_电影制作人
finicky adj_苛求的
finite adj_有限的
firmly adv_牢牢地
fiscal adj_财政的
fixate v_注视
flaccid adj_松弛的
flamboyant adj_华丽的，_炫耀的
flaunt v_炫耀
flavor n_味道，_风味
flounder v_挣扎
foil v_阻止
folktale n_民间故事
fondness n_溺爱，_喜爱
foolhardy adj_鲁莽的
forage n_饲料
forbearance n_忍耐
forceful adj_有力的
forcefulness n_有力
forebode v_预兆
foreignness n_外国（人）的特性
foreknowledge n_先见之明
foresight n_远见
forested adj_林木覆盖的
forfeit v_失去
formally adv_正式地
formerly adv_过去
formulate v_阐述
forsake v_放弃
fortify v_加强，_增强
fragile adj_脆弱的
frail adj_意志薄弱的
frantic adj_慌乱的
fraudulent adj_涉嫌欺诈的
functionalism n_实用主义
fuse v_融合
futility n_无用
gainsay v_否认
galaxy n_星系
gallantry n_殷勤
gamble v_冒险，_以…做赌注
gardenia n_栀子花
gasification n_气化
gem n_瑰宝，_珍品
gemstone n_宝石
generality n_普遍性
generic adj_普通的
geometric adj_几何图案的
germinate v_萌芽
gloat v_幸灾乐祸
gloss n_假象
goddess n_女神
goodwill n_友善
gouge v_敲诈
gourmet n_美食家
gracefully adv_优美地
gradation n_阶段
grammatically adv_语法上
grandeur n_宏伟
grandiloquence n_夸张之言
grandiosity n_夸张
gravitational adj_重力的
Greek n_希腊人，_希腊语
gregarious adj_爱社交的
grin v_露齿笑
groundless adj_无根据的
grudging adj_不情愿的
guideline n_准则
guile n_狡猾
gullibility n_易上当受骗
gullible adj_易受骗的
habitat n_（动物的）栖息地，_住处
habitually adv_习惯地
habituate v_使…习惯
hallowed adj_神圣的
happening n_事件
hardworking adj_勤奋的
harmonize v_协调，_使…和谐
hatred n_仇恨
haughty adj_傲慢的
hazardous adj_危险的
headway n_进展
hearten v_鼓励
heartless adj_无情的，_残酷的
hedonistic adj_享乐主义的
heed v_注意
hemisphere n_半球
heredity n_遗传特征
heretofore adv_迄今为止
hesitation n_犹豫
heterodox adj_异端的
hiatus n_间断
hibernator n_冬眠的动物
hierarchical adj_等级制度的
hieroglyph n_象形文字
hiss v_发出嘘声（表示不满）
histocompatibility n_组织相容性
histrionic adj_矫揉造作的
hobbyist n_业余爱好者
homogeneity n_同质
homogeneous adj_同质的
horrify v_使…惊骇
hospitable adj_热情友好的
humanism n_人文主义
humanistic adj_人文主义的
humdrum adj_单调的，_乏味的
humiliate v_使…丢脸
humility n_谦虚
hunch n_直觉
hydroelectric adj_水力发电的
hypertension n_高血压
hypothetical adj_假定的
identifiable adj_可辨认的
idiocy n_愚蠢
idiomatic adj_具有语言特点的
idiosyncrasy n_特质
idolatry n_偶像崇拜
ignoble adj_卑贱的
illustrative adj_说明性的
imaginable adj_可想象的
immediacy n_直接
immerse v_使…专心于
immutability n_不变，_稳定性
immutable adj_不变的
impairment n_削弱
"impassivity" n_平静
impeccable adj_无懈可击的
impel v_驱使
imperfection n_不完美；_瑕疵
imperial adj_帝国的
imperious adj_专横的，_傲慢的
impermissible adj_不允许的
impersonal adj_客观的
impervious adj_不受影响的
impetuosity n_急躁
impiety n_不虔诚
implicate v_暗示
impolitic adj_不明智的
impossibly adv_难以想象地
imposter n_骗子
imprecise adj_不精确的
impressionable adj_容易被感动的
impressionist n_印象派画家
improbable adj_不大可能的，_未必有的
impromptu adj_即兴的
improper adj_不合适的
imprudent adj_不谨慎的
impudent adj_无礼的
impunity n_免除惩罚
inability n_无能
inactivity n_不活跃
inadvisable adj_不明智的
inaugural n_就职演讲
incipient adj_早期的，_初期的
incised adj_深深雕刻的
inclusion n_收录
incompatible adj_矛盾的
incongruous adj_不一致的，_不协调的
inconvenient adj_不方便的
incredulous adj_怀疑的
incubate v_孵卵
incumbent adj_现任的
incuriosity n_不关心
indebted adj_负债的
indecorous adj_失礼的，_不合礼节的
independently adv_独立地
indignation n_愤怒
indirectness n_间接
indiscriminate adj_无差别的
individuality n_个性
individualize v_使…具有个性
individually adv_单独地
indolence n_懒惰
indomitable adj_不屈不挠的
industrialist n_实业家
industrious adj_勤劳的
inefficiency n_效率低
inequality n_不平等
inertia n_惯性
inescapably adv_无法避免地
inestimable adj_无法估量的
inevitability n_必然性
inevitably adv_必然地
inexcusable adj_不可原谅的
inexperienced adj_无经验的
infection n_感染
inferable adj_能推理的，_能推论的
infertile adj_不育的
inflame v_激怒
inflate v_夸大_adj_（价格）过高的
inflexibility n_顽固
inflict v_给予（打击）
informality n_非正式
infuriate v_激怒
ingenuity n_独创性
ingrate n_忘恩负义的人
inhalation n_吸气
inhibition n_抑制
inimitable adj_无法仿效的；_无与伦比的
iniquitous adj_邪恶的
initiative n_创新精神
inland n_内陆地区
innuendo n_含沙射影
insider n_业内人士
insincere adj_虚伪的
insipid adj_枯燥乏味的
insolent adj_无礼的
inspiration n_灵感
instability n_不稳定
instructional adj_指导的
insubordinate adj_不服从的
intelligibility n_可理解性
intensively adv_集中地
intent n_目的，_意图
intentionally "adv_有意地,_故意地"
interdisciplinary adj_各学科间的，_跨学科的
interminable adj_冗长的
intermittent adj_断断续续的
interpose v_提出
interpretable adj_可解释的
interpretive adj_说明的
interrelate v_互相关联
intimacy n_亲密
intimation n_暗示
intrepid adj_勇敢的
introverted adj_（性格）内向的
intrusive adj_侵入的
invaluable adj_无价的
invariable adj_不变的
invert v_颠倒
investigative adj_调查的
inveterately adv_根深蒂固地
invigoration n_精神充沛
inviolate adj_纯洁的
invoke v_使用，_应用
invulnerable adj_无懈可击的
ionized adj_已电离的，_离子化的
irradiation n_照射
irremediably adv_不能补救地
irreparable adj_不能挽回的
irresolute adj_优柔寡断的
irrigate v_灌溉
irritate v_激怒
irritation n_生气，_愤怒
jaded adj_劳累的，_厌倦的
jealousy n_妒忌
jeer v_嘲弄
jockey v_运用手段谋取职位或利益
jointly adv_共同地
juicy adj_生动的
juxtaposition n_并排
kin n_亲属
kindle v_激起，_引发
kindliness n_温和态度
kinship n_亲属关系
label v_标记，_表明
labyrinthine adj_错综复杂的
laconic adj_简洁的
laity n_普通信徒，_俗家弟子
landfast adj_附着于陆地的
landlocked adj_被陆地包围的
latitude n_选择（做什么事或做事方式）的自由
laughable adj_可笑的
laureate n_得奖人
lawsuit n_诉讼
lax adj_松懈的
legislation n_立法
lesser adj_次要的，_较小的
lexicographer n_辞典编纂者
liability n_不利因素
liberally adv_不受限制地
likelihood n_可能性
limousine n_豪华轿车
literally adv_按照字面上地
livestock n_家畜
loathe v_厌恶
locus n_地点
lopsided adj_不平衡的
loquacity n_多嘴
lukewarm adj_不够热心的
luminous adj_光辉的
lurid adj_可怕的
machinery n_机械
madden v_使发疯
magnanimity n_宽宏大量，_慷慨
magnanimous adj_宽宏大量的
magnitude n_大小；_重要性
majestic adj_壮丽的
malevolent adj_有恶意的，_恶毒的
malicious adj_恶意的
malpractice n_医疗事故
maniacal adj_狂热的
manifest adj_明显的
mannerism n_矫揉造作
mapmaking n_绘制地图
martinet n_要求严格服从纪律的人
massive adj_大量的
maturational adj_成熟的
maverick adj_标新立异的
maximize v_最大化，_充分利用
meaningless adj_无意义的
mediate v_调停
melancholy n_忧伤
mellifluous adj_流畅的
menial adj_卑微的
mercurial adj_（情绪）易变的
meretricious adj_俗艳的
merge v_合并，_融合
metamorphose v_变成；_变形
metaphysics n_形而上学
metropolitan adj_大都市的
mettlesome adj_精神饱满的
middleclass adj_中产阶级的
mildness n_温和，_温暖
milieu n_周围环境
mindless adj_愚蠢的
minuet n_小步舞
minutely adv_仔细地
mired adj_陷入的
misanthropy n_厌恶人类
misconception n_误解
misconduct n_不端行为
misdeed n_不端行为
misinform v_提供错误消息
misjudgment n_判断错误
mismanagement['mis'm?nid?m?nt]? n_管理不善
misuse n_误用
mitochondrion n_线粒体
mockery n_嘲笑
modernist n_现代主义者
modernize v_使…现代化
modification n_修正
modulate v_调整
molecular adj_分子的
monarch n_君主
monastery n_修道院
monetary adj_钱的
monomania n_偏执
morale n_士气
moralistic adj_守旧的，_狭隘道德观的
morality n_道德
morally adv_道德上
moratorium n_暂停
moribund adj_垂死的；_停滞不前的
mortgage n_抵押
motiveless adj_无动机的，_无目的的
mountainous adj_多山的
muddle v_使…糊涂
muscular adj_肌肉的
musculature n_肌肉
museumgoer n_常去博物馆的人
musicologist n_音乐家
mutability n_易变性
mutation n_突变
mutually adv_互相地
mysticism n_玄学
mystification n_神秘化
nebulous adj_模糊的
needlework n_刺绣，_缝纫
negligible adj_可以忽略的，_微不足道的
neutrally adv_保持中立
newborn adj_新生的
nicely adv_巧妙地
nightmare n_噩梦，_使人极其痛苦的事情或经历
